COUNTY,year,n,nMMR,nDTP,nPolio,nPBE,nPME,cases,rates,avg_DTP,cases/n,avg_PBE/PME
ALAMEDA,2010,17721,16688,16559,16479,216,24,423,30.21,0.93442808,0.023869985,0.013543254
ALAMEDA,2011,19576,18335,18235,18256,259,25,206,14.59,0.931497752,0.010523089,0.01450756
ALAMEDA,2012,19286,17828,17463,17432,307,19,62,4.35,0.905475474,0.003214767,0.016903453
ALAMEDA,2013,19633,18107,17948,18098,347,45,124,8.55,0.914175113,0.006315897,0.019966383
ALAMEDA,2014,20718,18950,18945,19076,314,38,354,24.41,0.914422242,0.017086591,0.016990057
ALPINE,2010,13,13,13,13,0,0,0,0,1,0,0
ALPINE,2011,12,12,12,12,0,0,0,0,1,0,0
ALPINE,2012,19,16,16,16,2,0,0,0,0.842105263,0,0.105263158
ALPINE,2013,12,10,10,10,1,0,0,0,0.833333333,0,0.083333333
AMADOR,2010,311,298,298,298,12,0,4,10.56,0.958199357,0.012861736,0.038585209
AMADOR,2011,315,287,285,287,13,3,11,29.48,0.904761905,0.034920635,0.050793651
AMADOR,2012,282,255,256,256,22,0,1,2.74,0.907801418,0.003546099,0.078014184
AMADOR,2013,291,240,245,246,28,0,2,5.52,0.841924399,0.006872852,0.096219931
AMADOR,2014,266,251,252,254,7,0,1,2.76,0.947368421,0.003759398,0.026315789
BUTTE,2010,2497,2233,2252,2242,120,10,32,14.55,0.901882259,0.012815378,0.052062475
BUTTE,2011,2562,2315,2305,2314,106,4,16,7.26,0.899687744,0.006245121,0.042935207
BUTTE,2012,2625,2358,2374,2363,149,4,3,1.36,0.904380952,0.001142857,0.058285714
BUTTE,2013,2661,2336,2352,2358,188,3,33,14.87,0.883878241,0.012401353,0.071777527
BUTTE,2014,2707,2415,2411,2447,160,15,30,13.52,0.89065386,0.011082379,0.064647211
CALAVERAS,2010,394,325,311,307,22,2,9,19.8,0.789340102,0.02284264,0.060913706
CALAVERAS,2011,392,329,318,320,24,0,5,11.08,0.81122449,0.012755102,0.06122449
CALAVERAS,2012,395,318,315,317,43,1,0,0,0.797468354,0,0.111392405
CALAVERAS,2013,443,345,349,357,48,0,2,4.39,0.787810384,0.004514673,0.108352144
CALAVERAS,2014,401,332,340,340,34,0,17,37.35,0.847880299,0.042394015,0.08478803
COLUSA,2010,369,362,360,362,5,0,11,51.2,0.975609756,0.029810298,0.013550136
COLUSA,2011,383,375,378,379,4,0,1,4.65,0.98694517,0.002610966,0.010443864
COLUSA,2012,399,391,390,391,3,2,0,0,0.977443609,0,0.012531328
COLUSA,2013,426,422,422,422,1,0,0,0,0.990610329,0,0.002347418
COLUSA,2014,396,392,393,393,2,0,0,0,0.992424242,0,0.005050505
CONTRA COSTA,2010,13868,13104,13038,13001,289,45,205,19.48,0.940149986,0.014782232,0.024084223
CONTRA COSTA,2011,14357,13725,13680,13703,251,22,114,10.74,0.952845302,0.007940378,0.019015115
CONTRA COSTA,2012,14583,13915,13852,13857,307,10,24,2.24,0.94987314,0.001645752,0.02173764
CONTRA COSTA,2013,14786,14105,14067,14122,338,15,69,6.37,0.95137292,0.004666576,0.023873935
CONTRA COSTA,2014,14603,13948,13907,13991,274,23,463,42.78,0.952338561,0.031705814,0.020338287
DEL NORTE,2010,309,282,284,283,22,0,16,56.06,0.919093851,0.051779935,0.071197411
DEL NORTE,2011,361,318,316,320,31,1,0,0,0.87534626,0,0.088642659
DEL NORTE,2012,286,251,252,249,33,0,0,0,0.881118881,0,0.115384615
DEL NORTE,2013,316,281,278,277,24,0,0,0,0.879746835,0,0.075949367
DEL NORTE,2014,320,291,288,291,25,0,2,7.16,0.9,0.00625,0.078125
EL DORADO,2010,2512,2185,2189,2178,191,8,54,29.85,0.871417197,0.021496815,0.079219745
EL DORADO,2011,2550,2287,2274,2279,165,6,11,6.09,0.891764706,0.004313725,0.067058824
EL DORADO,2012,2427,2150,2145,2139,197,3,3,1.64,0.883807169,0.001236094,0.082406263
EL DORADO,2013,2190,1832,1847,1865,195,10,4,2.18,0.843378995,0.001826484,0.093607306
EL DORADO,2014,2157,1963,1963,1970,164,4,33,18,0.910060269,0.015299026,0.077885953
FRESNO,2010,15689,15235,15147,15091,184,16,550,58.99,0.965453502,0.035056409,0.012747785
FRESNO,2011,16460,15901,15725,15751,221,12,58,6.17,0.955346294,0.003523694,0.014155529
FRESNO,2012,17232,16639,16465,16499,254,5,16,1.69,0.955489786,0.000928505,0.015030176
FRESNO,2013,17749,16965,16859,16923,278,12,44,4.59,0.94985633,0.002479013,0.016338949
FRESNO,2014,17895,17263,17192,17268,173,26,391,40.78,0.960715284,0.021849679,0.011120425
GLENN,2010,464,448,449,448,1,0,1,3.55,0.967672414,0.002155172,0.002155172
GLENN,2011,475,462,461,462,6,1,1,3.54,0.970526316,0.002105263,0.014736842
GLENN,2012,378,372,370,371,4,0,0,0,0.978835979,0,0.010582011
GLENN,2013,488,479,474,479,5,1,0,0,0.971311475,0,0.012295082
GLENN,2014,293,287,288,289,2,0,1,3.54,0.982935154,0.003412969,0.006825939
HUMBOLDT,2010,1458,1186,1160,1168,142,2,58,43.07,0.795610425,0.039780521,0.098765432
HUMBOLDT,2011,1479,1205,1179,1182,147,3,15,11.09,0.797160243,0.010141988,0.101419878
HUMBOLDT,2012,1505,1195,1215,1208,165,2,1,0.74,0.80730897,0.000664452,0.110963455
HUMBOLDT,2013,1539,1187,1206,1225,163,1,5,3.71,0.783625731,0.003248863,0.106562703
HUMBOLDT,2014,1530,1232,1250,1238,158,6,140,103.84,0.816993464,0.091503268,0.107189542
IMPERIAL,2010,2880,2731,2767,2757,11,4,9,5.13,0.960763889,0.003125,0.005208333
IMPERIAL,2011,2740,2642,2650,2659,7,1,3,1.69,0.967153285,0.001094891,0.002919708
IMPERIAL,2012,2720,2603,2618,2630,4,1,8,4.49,0.9625,0.002941176,0.001838235
IMPERIAL,2013,2939,2832,2848,2859,18,2,3,1.68,0.969037087,0.001020755,0.006805036
IMPERIAL,2014,3086,2940,2950,2982,12,3,10,5.58,0.955930006,0.003240441,0.004860661
INYO,2010,199,194,194,194,4,0,8,43.17,0.974874372,0.040201005,0.020100503
INYO,2011,226,222,222,222,4,0,0,0,0.982300885,0,0.017699115
INYO,2012,207,201,201,201,3,2,1,5.29,0.971014493,0.004830918,0.024154589
INYO,2013,188,182,182,183,2,2,0,0,0.968085106,0,0.021276596
INYO,2014,233,228,227,227,5,0,0,0,0.974248927,0,0.021459227
KERN,2010,14406,13222,13204,13125,229,57,376,44.7,0.916562543,0.026100236,0.019852839
KERN,2011,15067,14265,14234,14283,269,93,49,5.77,0.944713613,0.00325214,0.024026017
KERN,2012,15722,15015,14993,15030,272,120,2,0.23,0.953631853,0.00012721,0.024933215
KERN,2013,16145,15079,15187,15286,426,87,31,3.58,0.940662744,0.001920099,0.031774543
KERN,2014,16031,15198,15223,15297,279,93,156,17.99,0.949597655,0.009731146,0.02320504
KINGS,2010,2612,2551,2547,2535,33,5,26,17.03,0.975114855,0.009954058,0.014548239
KINGS,2011,2567,2489,2465,2481,47,2,7,4.61,0.960264901,0.002726919,0.01908843
KINGS,2012,2500,2461,2443,2457,18,1,0,0,0.9772,0,0.0076
KINGS,2013,2753,2704,2694,2702,24,1,2,1.33,0.978568834,0.00072648,0.009081003
KINGS,2014,2705,2655,2630,2658,22,4,15,9.97,0.972273567,0.005545287,0.00961183
LAKE,2010,751,705,689,687,20,2,5,7.74,0.917443409,0.00665779,0.029294274
LAKE,2011,716,659,638,640,23,1,3,4.66,0.891061453,0.004189944,0.033519553
LAKE,2012,720,640,641,639,38,0,2,3.11,0.890277778,0.002777778,0.052777778
LAKE,2013,813,719,720,727,40,1,3,4.66,0.885608856,0.003690037,0.050430504
LAKE,2014,835,771,770,778,39,0,4,6.21,0.922155689,0.004790419,0.046706587
LASSEN,2010,292,259,266,263,3,0,1,2.85,0.910958904,0.003424658,0.010273973
LASSEN,2011,329,288,288,290,24,0,0,0,0.875379939,0,0.072948328
LASSEN,2012,345,293,295,294,21,0,0,0,0.855072464,0,0.060869565
LASSEN,2013,367,326,326,326,17,0,0,0,0.888283379,0,0.046321526
LASSEN,2014,350,301,300,300,27,0,5,15.28,0.857142857,0.014285714,0.077142857
